index,bigcategory,smallcategory,size,XXS以下,20cm以下,,,,,,,,,,,,,,
レディース,レッグウェア,レッグウォーマー,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,帽子,ニットキャップ/ビーニー,,,,,,,,,,,,,,,,,
レディース,帽子,ハット,,,,,,,,,,,,,,,,,
レディース,帽子,ハンチング/ベレー帽,,,,,,,,,,,,,,,,,
レディース,帽子,キャップ,,,,,,,,,,,,,,,,,
レディース,帽子,キャスケット,,,,,,,,,,,,,,,,,
レディース,帽子,麦わら帽子,,,,,,,,,,,,,,,,,
レディース,帽子,その他,,,,,,,,,,,,,,,,,
レディース,バッグ,ハンドバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,トートバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,エコバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,リュック/バックパック,,,,,,,,,,,,,,,,,
レディース,バッグ,ボストンバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,スポーツバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ショルダーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,クラッチバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ポーチ/バニティ,,,,,,,,,,,,,,,,,
レディース,バッグ,ボディバッグ/ウェストバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,マザーズバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,メッセンジャーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ビジネスバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,旅行用バッグ/キャリーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ショップ袋,,,,,,,,,,,,,,,,,
レディース,バッグ,和装用バッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,かごバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,その他,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ネックレス,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ブレスレット,,,,,,,,,,,,,,,,,
レディース,アクセサリー,バングル/リストバンド,,,,,,,,,,,,,,,,,
レディース,アクセサリー,リング,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ピアス(片耳用),,,,,,,,,,,,,,,,,
レディース,アクセサリー,ピアス(両耳用),,,,,,,,,,,,,,,,,
レディース,アクセサリー,イヤリング,,,,,,,,,,,,,,,,,
レディース,アクセサリー,アンクレット,,,,,,,,,,,,,,,,,
レディース,アクセサリー,ブローチ/コサージュ,,,,,,,,,,,,,,,,,
レディース,アクセサリー,チャーム,,,,,,,,,,,,,,,,,
レディース,アクセサリー,その他,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,ヘアゴム/シュシュ,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,ヘアバンド/カチューシャ,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,ヘアピン,,,,,,,,,,,,,,,,,
レディース,ヘアアクセサリー,その他,,,,,,,,,,,,,,,,,
レディース,小物,長財布,,,,,,,,,,,,,,,,,
レディース,小物,折り財布,,,,,,,,,,,,,,,,,
レディース,小物,コインケース/小銭入れ,,,,,,,,,,,,,,,,,
レディース,小物,名刺入れ/定期入れ,,,,,,,,,,,,,,,,,
レディース,小物,キーケース,,,,,,,,,,,,,,,,,
レディース,小物,キーホルダー,,,,,,,,,,,,,,,,,
レディース,小物,手袋/アームカバー,,,,,,,,,,,,,,,,,
レディース,小物,ハンカチ,,,,,,,,,,,,,,,,,
レディース,小物,ベルト,,,,,,,,,,,,,,,,,
レディース,小物,マフラー/ショール,,,,,,,,,,,,,,,,,
レディース,小物,ストール/スヌード,,,,,,,,,,,,,,,,,
レディース,小物,バンダナ/スカーフ,,,,,,,,,,,,,,,,,
レディース,小物,ネックウォーマー,,,,,,,,,,,,,,,,,
レディース,小物,サスペンダー,,,,,,,,,,,,,,,,,
レディース,小物,サングラス/メガネ,,,,,,,,,,,,,,,,,
レディース,小物,モバイルケース/カバー,,,,,,,,,,,,,,,,,
レディース,小物,手帳,,,,,,,,,,,,,,,,,
レディース,小物,イヤマフラー,,,,,,,,,,,,,,,,,
レディース,小物,傘,,,,,,,,,,,,,,,,,
レディース,小物,レインコート/ポンチョ,,,,,,,,,,,,,,,,,
レディース,小物,ミラー,,,,,,,,,,,,,,,,,
レディース,小物,タバコグッズ,,,,,,,,,,,,,,,,,
レディース,小物,その他,,,,,,,,,,,,,,,,,
レディース,時計,腕時計(アナログ),,,,,,,,,,,,,,,,,
レディース,時計,腕時計(デジタル),,,,,,,,,,,,,,,,,
レディース,時計,ラバーベルト,,,,,,,,,,,,,,,,,
レディース,時計,レザーベルト,,,,,,,,,,,,,,,,,
レディース,時計,金属ベルト,,,,,,,,,,,,,,,,,
レディース,時計,その他,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,前髪ウィッグ,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,ロングストレート,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,ロングカール,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,ショートストレート,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,ショートカール,,,,,,,,,,,,,,,,,
レディース,ウィッグ/エクステ,その他,,,,,,,,,,,,,,,,,
レディース,浴衣/水着,浴衣,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,着物,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,振袖,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,長襦袢/半襦袢,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,水着セパレート,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,水着ワンピース,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,水着スポーツ用,XXS以下,,,,,,,,,,,,,,,,
レディース,浴衣/水着,その他,,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,スカートスーツ上下,XXS以下,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,パンツスーツ上下,XXS以下,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,ドレス,XXS以下,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,パーティーバッグ,,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,シューズ,,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,ウェディング,,,,,,,,,,,,,,,,,
レディース,スーツ/フォーマル/ドレス,その他,,,,,,,,,,,,,,,,,
レディース,マタニティ,トップス,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,アウター,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,インナー,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,ワンピース,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,パンツ/スパッツ,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,スカート,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,パジャマ,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,授乳服,XXS以下,,,,,,,,,,,,,,,,
レディース,マタニティ,その他,,,,,,,,,,,,,,,,,
レディース,その他,コスプレ,XXS以下,,,,,,,,,,,,,,,,
レディース,その他,下着,XXS以下,,,,,,,,,,,,,,,,
レディース,その他,その他,,,,,,,,,,,,,,,,,
レディース,トップス,Tシャツ/カットソー(半袖/袖なし),XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,Tシャツ/カットソー(七分/長袖),XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,シャツ/ブラウス(半袖/袖なし),XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,シャツ/ブラウス(七分/長袖),XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,ポロシャツ,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,キャミソール,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,タンクトップ,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,ホルターネック,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,ニット/セーター,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,チュニック,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,カーディガン/ボレロ,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,アンサンブル,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,ベスト/ジレ,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,パーカー,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,トレーナー/スウェット,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,ベアトップ/チューブトップ,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,ジャージ,XS(SS),,,,,,,,,,,,,,,,
レディース,トップス,その他,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,テーラードジャケット,XS(SS),,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ノーカラージャケット,XS(SS),,,,,,,,,,,,,,,,
